#OTU_IDs	16S_rRNA_Count
639895	2.0
221195	4.0
938628	1.0
921310	2.0
852654	4.0
852655	1.0
588725	1.0
327709	3.0
258522	1.0
201227	1.0
3475269	5.0
258528	3.0
327704	3.0
32934	3.0
340322	2.0
23694	1.0
2172721	5.0
4415931	4.0
262546	2.0
3196811	2.0
995035	4.0
533300	3.0
609138	10.0
224949	9.0
224948	3.0
332919	6.0
145059	6.0
1123821	2.0
4415937	1.0
2940867	5.0
2940868	2.0
145053	3.0
266459	4.0
145056	3.0
908515	4.0
579965	3.0
900761	6.0
900763	4.0
696477	5.0
964699	3.0
579960	3.0
319869	1.0
942894	3.0
4402068	2.0
198	2.0
817332	10.0
761968	3.0
592195	1.0
1084893	1.0
2690382	2.0
4424700	1.0
589691	4.0
450439	5.0
922669	4.0
589696	7.0
1036405	3.0
984129	3.0
3831040	2.0
3831041	2.0
166638	3.0
166639	9.0
295914	1.0
295916	1.0
295917	4.0
295918	4.0
4409351	5.0
166630	5.0
166631	5.0
166637	1.0
4346565	4.0
4346564	6.0
3480258	3.0
4346568	1.0
4396909	1.0
812866	3.0
223627	3.0
223625	1.0
223622	2.0
223621	5.0
4352199	7.0
844237	4.0
4334796	6.0
4352197	3.0
4334790	3.0
4334792	3.0
4027697	4.0
418882	7.0
810646	2.0
810643	5.0
810642	4.0
810649	3.0
222554	5.0
781103	4.0
336110	3.0
336115	3.0
4408007	4.0
204010	2.0
4464801	2.0
4408001	3.0
4464802	8.0
1142145	5.0
4464809	2.0
4464808	4.0
4408009	4.0
271122	4.0
271121	2.0
4411931	5.0
4411930	4.0
3942007	10.0
4467578	7.0
4017932	2.0
197343	3.0
551942	2.0
551943	2.0
2578357	1.0
551941	3.0
4100332	3.0
4100336	12.0
4100335	2.0
1062031	5.0
4020950	2.0
616	2.0
508976	2.0
522013	1.0
522011	5.0
522016	1.0
522017	5.0
522015	3.0
4322704	10.0
4322707	3.0
4336939	4.0
208645	3.0
567382	3.0
4439223	3.0
4439227	2.0
4439229	2.0
1114113	1.0
1114110	2.0
3743397	2.0
1114114	4.0
614	2.0
1114118	4.0
226970	2.0
1115240	1.0
147024	4.0
147025	2.0
226974	3.0
147020	6.0
242805	6.0
1115249	2.0
226979	3.0
242808	2.0
662249	7.0
147028	2.0
4333260	1.0
3203828	4.0
4333262	2.0
103014	2.0
272478	2.0
272479	6.0
3203822	4.0
3203827	4.0
3203826	4.0
326270	6.0
326271	4.0
326276	1.0
326279	3.0
751891	5.0
315975	3.0
814011	3.0
315977	2.0
315976	4.0
315978	4.0
590109	2.0
590108	2.0
640605	2.0
815761	1.0
815762	2.0
815769	1.0
815768	3.0
1110742	4.0
87473	4.0
87474	10.0
1110745	5.0
4323074	3.0
4323075	10.0
4323076	3.0
4323071	3.0
4323072	3.0
4323073	3.0
3284299	4.0
533912	7.0
935671	3.0
935677	3.0
171640	2.0
4344344	5.0
525749	7.0
835656	9.0
170512	2.0
526213	1.0
835653	3.0
1010510	3.0
4379631	2.0
141842	3.0
4344343	4.0
716081	1.0
334533	11.0
279589	3.0
740154	5.0
334538	2.0
740158	5.0
4332135	2.0
530942	4.0
260884	4.0
4332131	2.0
279582	3.0
260885	3.0
2552920	2.0
2309099	4.0
681681	6.0
593456	2.0
593457	2.0
593452	12.0
593453	2.0
581861	4.0
534845	5.0
761797	8.0
241728	3.0
241729	5.0
546380	4.0
546382	2.0
1051443	3.0
546384	7.0
546385	3.0
546386	2.0
546387	2.0
287496	4.0
4047	3.0
287493	3.0
159315	2.0
4043	3.0
249111	1.0
4226719	2.0
249113	2.0
4312636	4.0
276206	3.0
904538	3.0
276208	3.0
1077295	2.0
277152	4.0
277153	2.0
277154	2.0
323580	3.0
323583	1.0
2105437	2.0
3721831	2.0
3721830	2.0
323589	3.0
323588	3.0
489700	3.0
832384	2.0
4370714	4.0
4370717	4.0
4370716	4.0
4370711	3.0
4297289	2.0
4370713	4.0
4370712	4.0
99723	8.0
1568489	4.0
792884	2.0
4348796	11.0
4348797	5.0
4348793	3.0
13325	2.0
4339879	2.0
3195675	2.0
4339870	4.0
4339877	2.0
248646	1.0
547478	1.0
659581	2.0
522825	7.0
248641	2.0
90390	3.0
522828	4.0
547475	1.0
90395	3.0
248648	4.0
248649	2.0
362308	7.0
140347	3.0
4319914	5.0
362301	3.0
2398183	7.0
140349	3.0
2229078	3.0
3429911	3.0
142533	2.0
566047	3.0
1002186	6.0
4473707	2.0
805279	3.0
805276	2.0
805275	2.0
566043	3.0
1087356	5.0
647926	2.0
3174760	2.0
3154070	5.0
944672	1.0
264919	2.0
264916	3.0
